preamble,stimulus,item,category,feature,score,params,model
A cardinal,flies.,cardinal,bird,2,-17.952491760253906,354824192,gpt2-medium
An eagle,flies.,eagle,bird,2,-12.908924102783203,354824192,gpt2-medium
A hummingbird,flies.,hummingbird,bird,2,-11.35296630859375,354824192,gpt2-medium
A seagull,flies.,seagull,bird,2,-11.59088134765625,354824192,gpt2-medium
A woodpecker,flies.,woodpecker,bird,2,-10.770133972167969,354824192,gpt2-medium
A pigeon,flies.,pigeon,bird,2,-11.757530212402344,354824192,gpt2-medium
A thrush,flies.,thrush,bird,2,-13.875068664550781,354824192,gpt2-medium
A falcon,flies.,falcon,bird,2,-10.256340026855469,354824192,gpt2-medium
A crow,flies.,crow,bird,2,-6.6691436767578125,354824192,gpt2-medium
A hawk,flies.,hawk,bird,2,-10.854728698730469,354824192,gpt2-medium
A raven,flies.,raven,bird,2,-10.8419189453125,354824192,gpt2-medium
A goldfinch,flies.,goldfinch,bird,2,-12.868583679199219,354824192,gpt2-medium
A parrot,flies.,parrot,bird,2,-12.001571655273438,354824192,gpt2-medium
A sandpiper,flies.,sandpiper,bird,2,-11.233779907226562,354824192,gpt2-medium
A pheasant,flies.,pheasant,bird,2,-12.218795776367188,354824192,gpt2-medium
A catbird,flies.,catbird,bird,2,-10.687728881835938,354824192,gpt2-medium
A crane,flies.,crane,bird,2,-13.402023315429688,354824192,gpt2-medium
An albatross,flies.,albatross,bird,2,-12.505378723144531,354824192,gpt2-medium
A condor,flies.,condor,bird,2,-11.222908020019531,354824192,gpt2-medium
A toucan,flies.,toucan,bird,2,-13.969505310058594,354824192,gpt2-medium
An owl,flies.,owl,bird,2,-12.182220458984375,354824192,gpt2-medium
A pelican,flies.,pelican,bird,2,-13.464263916015625,354824192,gpt2-medium
A goose,flies.,goose,bird,2,-11.770614624023438,354824192,gpt2-medium
A vulture,flies.,vulture,bird,2,-11.814216613769531,354824192,gpt2-medium
A stork,flies.,stork,bird,2,-9.055923461914062,354824192,gpt2-medium
A buzzard,flies.,buzzard,bird,2,-11.216018676757812,354824192,gpt2-medium
A swan,flies.,swan,bird,2,-13.3079833984375,354824192,gpt2-medium
A flamingo,flies.,flamingo,bird,2,-12.139533996582031,354824192,gpt2-medium
A duck,flies.,duck,bird,2,-13.168891906738281,354824192,gpt2-medium
A peacock,flies.,peacock,bird,2,-10.651252746582031,354824192,gpt2-medium
An egret,flies.,egret,bird,2,-12.025909423828125,354824192,gpt2-medium
A chicken,flies.,chicken,bird,2,-13.938316345214844,354824192,gpt2-medium
A turkey,flies.,turkey,bird,2,-12.890220642089844,354824192,gpt2-medium
An ostrich,flies.,ostrich,bird,2,-12.548698425292969,354824192,gpt2-medium
A titmouse,flies.,titmouse,bird,2,-12.954753875732422,354824192,gpt2-medium
An emu,flies.,emu,bird,2,-13.82464599609375,354824192,gpt2-medium
A penguin,flies.,penguin,bird,2,-14.18438720703125,354824192,gpt2-medium
A bat,flies.,bat,bird,2,-10.978076934814453,354824192,gpt2-medium
A robin,has feathers.,robin,bird,3,-15.039070129394531,354824192,gpt2-medium
A sparrow,has feathers.,sparrow,bird,3,-16.274078369140625,354824192,gpt2-medium
A bluejay,has feathers.,bluejay,bird,3,-18.797836303710938,354824192,gpt2-medium
A bluebird,has feathers.,bluebird,bird,3,-17.088775634765625,354824192,gpt2-medium
A canary,has feathers.,canary,bird,3,-17.697303771972656,354824192,gpt2-medium
A blackbird,has feathers.,blackbird,bird,3,-18.619224548339844,354824192,gpt2-medium
A dove,has feathers.,dove,bird,3,-15.516616821289062,354824192,gpt2-medium
A lark,has feathers.,lark,bird,3,-19.137229919433594,354824192,gpt2-medium
A swallow,has feathers.,swallow,bird,3,-15.679878234863281,354824192,gpt2-medium
A parakeet,has feathers.,parakeet,bird,3,-18.489044189453125,354824192,gpt2-medium
An oriole,has feathers.,oriole,bird,3,-15.785987854003906,354824192,gpt2-medium
A mockingbird,has feathers.,mockingbird,bird,3,-17.960968017578125,354824192,gpt2-medium
A redbird,has feathers.,redbird,bird,3,-16.91838836669922,354824192,gpt2-medium
A wren,has feathers.,wren,bird,3,-14.573966979980469,354824192,gpt2-medium
A finch,has feathers.,finch,bird,3,-14.903694152832031,354824192,gpt2-medium
A starling,has feathers.,starling,bird,3,-15.610191345214844,354824192,gpt2-medium
A cardinal,has feathers.,cardinal,bird,3,-22.840408325195312,354824192,gpt2-medium
An eagle,has feathers.,eagle,bird,3,-17.731250762939453,354824192,gpt2-medium
A hummingbird,has feathers.,hummingbird,bird,3,-17.34998321533203,354824192,gpt2-medium
A seagull,has feathers.,seagull,bird,3,-17.650352478027344,354824192,gpt2-medium
A woodpecker,has feathers.,woodpecker,bird,3,-16.386817932128906,354824192,gpt2-medium
A pigeon,has feathers.,pigeon,bird,3,-17.94384002685547,354824192,gpt2-medium
A thrush,has feathers.,thrush,bird,3,-18.34253692626953,354824192,gpt2-medium
A falcon,has feathers.,falcon,bird,3,-15.621818542480469,354824192,gpt2-medium
A crow,has feathers.,crow,bird,3,-15.488410949707031,354824192,gpt2-medium
A hawk,has feathers.,hawk,bird,3,-18.3365478515625,354824192,gpt2-medium
A raven,has feathers.,raven,bird,3,-15.329952239990234,354824192,gpt2-medium
A goldfinch,has feathers.,goldfinch,bird,3,-17.539932250976562,354824192,gpt2-medium
A parrot,has feathers.,parrot,bird,3,-18.224807739257812,354824192,gpt2-medium
A sandpiper,has feathers.,sandpiper,bird,3,-18.166732788085938,354824192,gpt2-medium
A pheasant,has feathers.,pheasant,bird,3,-17.513206481933594,354824192,gpt2-medium
A catbird,has feathers.,catbird,bird,3,-18.343307495117188,354824192,gpt2-medium
A crane,has feathers.,crane,bird,3,-25.664031982421875,354824192,gpt2-medium
An albatross,has feathers.,albatross,bird,3,-18.237945556640625,354824192,gpt2-medium
A condor,has feathers.,condor,bird,3,-15.836578369140625,354824192,gpt2-medium
A toucan,has feathers.,toucan,bird,3,-14.779197692871094,354824192,gpt2-medium
An owl,has feathers.,owl,bird,3,-17.988319396972656,354824192,gpt2-medium
A pelican,has feathers.,pelican,bird,3,-19.06897735595703,354824192,gpt2-medium
A goose,has feathers.,goose,bird,3,-16.610733032226562,354824192,gpt2-medium
A vulture,has feathers.,vulture,bird,3,-16.600662231445312,354824192,gpt2-medium
A stork,has feathers.,stork,bird,3,-15.063613891601562,354824192,gpt2-medium
A buzzard,has feathers.,buzzard,bird,3,-15.856407165527344,354824192,gpt2-medium
A swan,has feathers.,swan,bird,3,-16.755020141601562,354824192,gpt2-medium
A flamingo,has feathers.,flamingo,bird,3,-17.733680725097656,354824192,gpt2-medium
A duck,has feathers.,duck,bird,3,-16.63574981689453,354824192,gpt2-medium
A peacock,has feathers.,peacock,bird,3,-15.002464294433594,354824192,gpt2-medium
An egret,has feathers.,egret,bird,3,-14.935592651367188,354824192,gpt2-medium
A chicken,has feathers.,chicken,bird,3,-15.230003356933594,354824192,gpt2-medium
A turkey,has feathers.,turkey,bird,3,-14.128593444824219,354824192,gpt2-medium
An ostrich,has feathers.,ostrich,bird,3,-16.022560119628906,354824192,gpt2-medium
A titmouse,has feathers.,titmouse,bird,3,-16.752151489257812,354824192,gpt2-medium
An emu,has feathers.,emu,bird,3,-16.643402099609375,354824192,gpt2-medium
A penguin,has feathers.,penguin,bird,3,-19.268585205078125,354824192,gpt2-medium
A bat,has feathers.,bat,bird,3,-16.688331604003906,354824192,gpt2-medium
A robin,has a beak.,robin,bird,4,-15.079292297363281,354824192,gpt2-medium
A sparrow,has a beak.,sparrow,bird,4,-15.972404479980469,354824192,gpt2-medium
A bluejay,has a beak.,bluejay,bird,4,-17.92934226989746,354824192,gpt2-medium
A bluebird,has a beak.,bluebird,bird,4,-17.566143035888672,354824192,gpt2-medium
A canary,has a beak.,canary,bird,4,-17.369197845458984,354824192,gpt2-medium
A blackbird,has a beak.,blackbird,bird,4,-19.041797637939453,354824192,gpt2-medium
A dove,has a beak.,dove,bird,4,-15.630584716796875,354824192,gpt2-medium
A lark,has a beak.,lark,bird,4,-16.843299865722656,354824192,gpt2-medium
A swallow,has a beak.,swallow,bird,4,-15.613533020019531,354824192,gpt2-medium
A parakeet,has a beak.,parakeet,bird,4,-17.528785705566406,354824192,gpt2-medium
An oriole,has a beak.,oriole,bird,4,-16.419261932373047,354824192,gpt2-medium
A mockingbird,has a beak.,mockingbird,bird,4,-18.016647338867188,354824192,gpt2-medium
A redbird,has a beak.,redbird,bird,4,-17.42803955078125,354824192,gpt2-medium
A wren,has a beak.,wren,bird,4,-15.04636001586914,354824192,gpt2-medium
A finch,has a beak.,finch,bird,4,-14.513713836669922,354824192,gpt2-medium
A starling,has a beak.,starling,bird,4,-15.789909362792969,354824192,gpt2-medium
A cardinal,has a beak.,cardinal,bird,4,-22.257827758789062,354824192,gpt2-medium
An eagle,has a beak.,eagle,bird,4,-18.264633178710938,354824192,gpt2-medium
A hummingbird,has a beak.,hummingbird,bird,4,-17.838363647460938,354824192,gpt2-medium
A seagull,has a beak.,seagull,bird,4,-17.264232635498047,354824192,gpt2-medium
A woodpecker,has a beak.,woodpecker,bird,4,-16.79517364501953,354824192,gpt2-medium
A pigeon,has a beak.,pigeon,bird,4,-17.70441246032715,354824192,gpt2-medium
A thrush,has a beak.,thrush,bird,4,-17.78439712524414,354824192,gpt2-medium
A falcon,has a beak.,falcon,bird,4,-16.64029312133789,354824192,gpt2-medium
A crow,has a beak.,crow,bird,4,-16.26496696472168,354824192,gpt2-medium
A hawk,has a beak.,hawk,bird,4,-17.205116271972656,354824192,gpt2-medium
A raven,has a beak.,raven,bird,4,-15.901023864746094,354824192,gpt2-medium
A goldfinch,has a beak.,goldfinch,bird,4,-16.64855194091797,354824192,gpt2-medium
A parrot,has a beak.,parrot,bird,4,-17.619625091552734,354824192,gpt2-medium
A sandpiper,has a beak.,sandpiper,bird,4,-18.094280242919922,354824192,gpt2-medium
A pheasant,has a beak.,pheasant,bird,4,-18.065902709960938,354824192,gpt2-medium
A catbird,has a beak.,catbird,bird,4,-18.74959945678711,354824192,gpt2-medium
A crane,has a beak.,crane,bird,4,-22.549869537353516,354824192,gpt2-medium
An albatross,has a beak.,albatross,bird,4,-17.2315673828125,354824192,gpt2-medium
A condor,has a beak.,condor,bird,4,-16.640705108642578,354824192,gpt2-medium
A toucan,has a beak.,toucan,bird,4,-15.221258163452148,354824192,gpt2-medium
An owl,has a beak.,owl,bird,4,-18.052265167236328,354824192,gpt2-medium
A pelican,has a beak.,pelican,bird,4,-17.474796295166016,354824192,gpt2-medium
A goose,has a beak.,goose,bird,4,-16.287242889404297,354824192,gpt2-medium
A vulture,has a beak.,vulture,bird,4,-16.164623260498047,354824192,gpt2-medium
A stork,has a beak.,stork,bird,4,-15.204254150390625,354824192,gpt2-medium
A buzzard,has a beak.,buzzard,bird,4,-16.348140716552734,354824192,gpt2-medium
A swan,has a beak.,swan,bird,4,-15.95751953125,354824192,gpt2-medium
A flamingo,has a beak.,flamingo,bird,4,-17.165504455566406,354824192,gpt2-medium
A duck,has a beak.,duck,bird,4,-16.04839515686035,354824192,gpt2-medium
A peacock,has a beak.,peacock,bird,4,-15.643646240234375,354824192,gpt2-medium
An egret,has a beak.,egret,bird,4,-14.132610321044922,354824192,gpt2-medium
A chicken,has a beak.,chicken,bird,4,-16.26955795288086,354824192,gpt2-medium
A turkey,has a beak.,turkey,bird,4,-15.229618072509766,354824192,gpt2-medium
An ostrich,has a beak.,ostrich,bird,4,-15.708629608154297,354824192,gpt2-medium
A titmouse,has a beak.,titmouse,bird,4,-16.519264221191406,354824192,gpt2-medium
An emu,has a beak.,emu,bird,4,-16.65616226196289,354824192,gpt2-medium
A penguin,has a beak.,penguin,bird,4,-18.742549896240234,354824192,gpt2-medium
A bat,has a beak.,bat,bird,4,-16.162593841552734,354824192,gpt2-medium
A robin,has a bill.,robin,bird,5,-19.109394073486328,354824192,gpt2-medium
A sparrow,has a bill.,sparrow,bird,5,-17.802345275878906,354824192,gpt2-medium
A bluejay,has a bill.,bluejay,bird,5,-18.401100158691406,354824192,gpt2-medium
A bluebird,has a bill.,bluebird,bird,5,-18.1536865234375,354824192,gpt2-medium
A canary,has a bill.,canary,bird,5,-18.857135772705078,354824192,gpt2-medium
A blackbird,has a bill.,blackbird,bird,5,-19.73474884033203,354824192,gpt2-medium
A dove,has a bill.,dove,bird,5,-18.34926986694336,354824192,gpt2-medium
A lark,has a bill.,lark,bird,5,-18.978614807128906,354824192,gpt2-medium
A swallow,has a bill.,swallow,bird,5,-17.284194946289062,354824192,gpt2-medium
A parakeet,has a bill.,parakeet,bird,5,-21.28055191040039,354824192,gpt2-medium
An oriole,has a bill.,oriole,bird,5,-19.382129669189453,354824192,gpt2-medium
A mockingbird,has a bill.,mockingbird,bird,5,-20.07088851928711,354824192,gpt2-medium
A redbird,has a bill.,redbird,bird,5,-18.37698745727539,354824192,gpt2-medium
A wren,has a bill.,wren,bird,5,-19.378864288330078,354824192,gpt2-medium
A finch,has a bill.,finch,bird,5,-16.671607971191406,354824192,gpt2-medium
A starling,has a bill.,starling,bird,5,-17.31350326538086,354824192,gpt2-medium
A cardinal,has a bill.,cardinal,bird,5,-19.968154907226562,354824192,gpt2-medium
An eagle,has a bill.,eagle,bird,5,-20.92859649658203,354824192,gpt2-medium
A hummingbird,has a bill.,hummingbird,bird,5,-18.72873306274414,354824192,gpt2-medium
A seagull,has a bill.,seagull,bird,5,-19.99850845336914,354824192,gpt2-medium
A woodpecker,has a bill.,woodpecker,bird,5,-18.51700210571289,354824192,gpt2-medium
A pigeon,has a bill.,pigeon,bird,5,-19.717884063720703,354824192,gpt2-medium
A thrush,has a bill.,thrush,bird,5,-19.85181427001953,354824192,gpt2-medium
A falcon,has a bill.,falcon,bird,5,-19.848384857177734,354824192,gpt2-medium
A crow,has a bill.,crow,bird,5,-18.26769256591797,354824192,gpt2-medium
A hawk,has a bill.,hawk,bird,5,-20.313472747802734,354824192,gpt2-medium
A raven,has a bill.,raven,bird,5,-18.524921417236328,354824192,gpt2-medium
A goldfinch,has a bill.,goldfinch,bird,5,-18.436779022216797,354824192,gpt2-medium
A parrot,has a bill.,parrot,bird,5,-20.885845184326172,354824192,gpt2-medium
A sandpiper,has a bill.,sandpiper,bird,5,-19.354530334472656,354824192,gpt2-medium
A pheasant,has a bill.,pheasant,bird,5,-20.700550079345703,354824192,gpt2-medium
A catbird,has a bill.,catbird,bird,5,-19.470722198486328,354824192,gpt2-medium
A crane,has a bill.,crane,bird,5,-25.56354522705078,354824192,gpt2-medium
An albatross,has a bill.,albatross,bird,5,-20.127182006835938,354824192,gpt2-medium
A condor,has a bill.,condor,bird,5,-20.747493743896484,354824192,gpt2-medium
A toucan,has a bill.,toucan,bird,5,-18.22406005859375,354824192,gpt2-medium
An owl,has a bill.,owl,bird,5,-20.300949096679688,354824192,gpt2-medium
A pelican,has a bill.,pelican,bird,5,-20.95598602294922,354824192,gpt2-medium
A goose,has a bill.,goose,bird,5,-18.181751251220703,354824192,gpt2-medium
A vulture,has a bill.,vulture,bird,5,-19.259113311767578,354824192,gpt2-medium
A stork,has a bill.,stork,bird,5,-17.680397033691406,354824192,gpt2-medium
A buzzard,has a bill.,buzzard,bird,5,-18.898075103759766,354824192,gpt2-medium
A swan,has a bill.,swan,bird,5,-18.15999984741211,354824192,gpt2-medium
A flamingo,has a bill.,flamingo,bird,5,-20.220027923583984,354824192,gpt2-medium
A duck,has a bill.,duck,bird,5,-16.666622161865234,354824192,gpt2-medium
A peacock,has a bill.,peacock,bird,5,-18.175701141357422,354824192,gpt2-medium
An egret,has a bill.,egret,bird,5,-17.76119613647461,354824192,gpt2-medium
A chicken,has a bill.,chicken,bird,5,-17.610652923583984,354824192,gpt2-medium
A turkey,has a bill.,turkey,bird,5,-17.403545379638672,354824192,gpt2-medium
An ostrich,has a bill.,ostrich,bird,5,-18.353042602539062,354824192,gpt2-medium
A titmouse,has a bill.,titmouse,bird,5,-18.57852554321289,354824192,gpt2-medium
An emu,has a bill.,emu,bird,5,-20.539066314697266,354824192,gpt2-medium
A penguin,has a bill.,penguin,bird,5,-20.447010040283203,354824192,gpt2-medium
A bat,has a bill.,bat,bird,5,-18.291885375976562,354824192,gpt2-medium
A robin,has wings.,robin,bird,6,-12.818656921386719,354824192,gpt2-medium
A sparrow,has wings.,sparrow,bird,6,-14.630287170410156,354824192,gpt2-medium
A bluejay,has wings.,bluejay,bird,6,-15.450630187988281,354824192,gpt2-medium
A bluebird,has wings.,bluebird,bird,6,-15.711174011230469,354824192,gpt2-medium
A canary,has wings.,canary,bird,6,-14.637802124023438,354824192,gpt2-medium
A blackbird,has wings.,blackbird,bird,6,-17.234886169433594,354824192,gpt2-medium
A dove,has wings.,dove,bird,6,-13.271148681640625,354824192,gpt2-medium
A lark,has wings.,lark,bird,6,-15.943626403808594,354824192,gpt2-medium
A swallow,has wings.,swallow,bird,6,-12.555610656738281,354824192,gpt2-medium
A parakeet,has wings.,parakeet,bird,6,-16.077537536621094,354824192,gpt2-medium
An oriole,has wings.,oriole,bird,6,-13.327262878417969,354824192,gpt2-medium
A mockingbird,has wings.,mockingbird,bird,6,-16.66948699951172,354824192,gpt2-medium
A redbird,has wings.,redbird,bird,6,-15.124130249023438,354824192,gpt2-medium
A wren,has wings.,wren,bird,6,-12.808486938476562,354824192,gpt2-medium
A finch,has wings.,finch,bird,6,-12.706932067871094,354824192,gpt2-medium
A starling,has wings.,starling,bird,6,-13.546653747558594,354824192,gpt2-medium
A cardinal,has wings.,cardinal,bird,6,-20.994407653808594,354824192,gpt2-medium
An eagle,has wings.,eagle,bird,6,-16.093151092529297,354824192,gpt2-medium
A hummingbird,has wings.,hummingbird,bird,6,-16.089065551757812,354824192,gpt2-medium
A seagull,has wings.,seagull,bird,6,-14.903541564941406,354824192,gpt2-medium
A woodpecker,has wings.,woodpecker,bird,6,-13.962928771972656,354824192,gpt2-medium
A pigeon,has wings.,pigeon,bird,6,-15.886054992675781,354824192,gpt2-medium
A thrush,has wings.,thrush,bird,6,-16.01689910888672,354824192,gpt2-medium
A falcon,has wings.,falcon,bird,6,-13.15350341796875,354824192,gpt2-medium
A crow,has wings.,crow,bird,6,-13.244033813476562,354824192,gpt2-medium
A hawk,has wings.,hawk,bird,6,-16.030517578125,354824192,gpt2-medium
A raven,has wings.,raven,bird,6,-13.361614227294922,354824192,gpt2-medium
A goldfinch,has wings.,goldfinch,bird,6,-14.926544189453125,354824192,gpt2-medium
A parrot,has wings.,parrot,bird,6,-15.873741149902344,354824192,gpt2-medium
A sandpiper,has wings.,sandpiper,bird,6,-15.863693237304688,354824192,gpt2-medium
A pheasant,has wings.,pheasant,bird,6,-15.675605773925781,354824192,gpt2-medium
A catbird,has wings.,catbird,bird,6,-16.373043060302734,354824192,gpt2-medium
A crane,has wings.,crane,bird,6,-20.064598083496094,354824192,gpt2-medium
An albatross,has wings.,albatross,bird,6,-15.84521484375,354824192,gpt2-medium
A condor,has wings.,condor,bird,6,-13.297256469726562,354824192,gpt2-medium
A toucan,has wings.,toucan,bird,6,-12.546363830566406,354824192,gpt2-medium
An owl,has wings.,owl,bird,6,-16.51274871826172,354824192,gpt2-medium
A pelican,has wings.,pelican,bird,6,-16.564483642578125,354824192,gpt2-medium
A goose,has wings.,goose,bird,6,-15.090370178222656,354824192,gpt2-medium
A vulture,has wings.,vulture,bird,6,-14.169425964355469,354824192,gpt2-medium
A stork,has wings.,stork,bird,6,-12.263465881347656,354824192,gpt2-medium
A buzzard,has wings.,buzzard,bird,6,-13.397430419921875,354824192,gpt2-medium
A swan,has wings.,swan,bird,6,-14.972824096679688,354824192,gpt2-medium
A flamingo,has wings.,flamingo,bird,6,-15.693893432617188,354824192,gpt2-medium
A duck,has wings.,duck,bird,6,-14.720855712890625,354824192,gpt2-medium
A peacock,has wings.,peacock,bird,6,-13.554855346679688,354824192,gpt2-medium
An egret,has wings.,egret,bird,6,-13.0399169921875,354824192,gpt2-medium
A chicken,has wings.,chicken,bird,6,-12.958885192871094,354824192,gpt2-medium
A turkey,has wings.,turkey,bird,6,-12.320457458496094,354824192,gpt2-medium
An ostrich,has wings.,ostrich,bird,6,-14.276901245117188,354824192,gpt2-medium
A titmouse,has wings.,titmouse,bird,6,-14.35821533203125,354824192,gpt2-medium
An emu,has wings.,emu,bird,6,-14.211341857910156,354824192,gpt2-medium
A penguin,has wings.,penguin,bird,6,-18.141830444335938,354824192,gpt2-medium
A bat,has wings.,bat,bird,6,-13.238899230957031,354824192,gpt2-medium
A robin,has legs and feet.,robin,bird,7,-21.59272003173828,354824192,gpt2-medium
A sparrow,has legs and feet.,sparrow,bird,7,-21.772491455078125,354824192,gpt2-medium
A bluejay,has legs and feet.,bluejay,bird,7,-22.526382446289062,354824192,gpt2-medium
A bluebird,has legs and feet.,bluebird,bird,7,-22.323158264160156,354824192,gpt2-medium
A canary,has legs and feet.,canary,bird,7,-29.201419830322266,354824192,gpt2-medium
A blackbird,has legs and feet.,blackbird,bird,7,-23.31475830078125,354824192,gpt2-medium
A dove,has legs and feet.,dove,bird,7,-21.551895141601562,354824192,gpt2-medium
A lark,has legs and feet.,lark,bird,7,-28.36286163330078,354824192,gpt2-medium
A swallow,has legs and feet.,swallow,bird,7,-20.40716552734375,354824192,gpt2-medium
A parakeet,has legs and feet.,parakeet,bird,7,-21.767852783203125,354824192,gpt2-medium
An oriole,has legs and feet.,oriole,bird,7,-18.453384399414062,354824192,gpt2-medium
A mockingbird,has legs and feet.,mockingbird,bird,7,-22.792892456054688,354824192,gpt2-medium
A redbird,has legs and feet.,redbird,bird,7,-22.151947021484375,354824192,gpt2-medium
A wren,has legs and feet.,wren,bird,7,-20.529312133789062,354824192,gpt2-medium
A finch,has legs and feet.,finch,bird,7,-20.198448181152344,354824192,gpt2-medium
A starling,has legs and feet.,starling,bird,7,-20.668258666992188,354824192,gpt2-medium
A cardinal,has legs and feet.,cardinal,bird,7,-27.215408325195312,354824192,gpt2-medium
An eagle,has legs and feet.,eagle,bird,7,-24.20486068725586,354824192,gpt2-medium
A hummingbird,has legs and feet.,hummingbird,bird,7,-21.88440704345703,354824192,gpt2-medium
